GEO,Year,region,decile,Type,value,UOM
Iran,93,Urban,4,Total Expenditure per capita,4230948.55,Rials per month
Iran,93,Urban,9,Total Expenditure per capita,10822369.72,Rials per month
Iran,93,Urban,10,Total Expenditure per capita,22714783.14,Rials per month
Iran,93,Urban,8,Total Expenditure per capita,8311871.71,Rials per month
Iran,93,Rural,5,Total Expenditure per capita,4947661.187,Rials per month
Iran,93,Rural,2,Total Expenditure per capita,2776812.228,Rials per month
Iran,93,Rural,3,Total Expenditure per capita,3521318.832,Rials per month
Iran,93,Rural,4,Total Expenditure per capita,4225932.483,Rials per month
Iran,93,Rural,1,Total Expenditure per capita,1698418.752,Rials per month
Iran,93,Rural,6,Total Expenditure per capita,5745942.923,Rials per month
Iran,93,Rural,7,Total Expenditure per capita,6806065.962,Rials per month
Iran,93,Rural,9,Total Expenditure per capita,10777849.76,Rials per month
Iran,93,Rural,8,Total Expenditure per capita,8252720.486,Rials per month
Iran,93,Rural,10,Total Expenditure per capita,18580913.47,Rials per month
Iran,94,Total,5,Total Expenditure per capita,5372008.18,Rials per month
Iran,94,Total,9,Total Expenditure per capita,11855823.5,Rials per month
Iran,94,Total,1,Total Expenditure per capita,1937559.824,Rials per month
Iran,94,Total,2,Total Expenditure per capita,3060981.548,Rials per month
Iran,94,Total,6,Total Expenditure per capita,6292531.639,Rials per month
Iran,94,Total,7,Total Expenditure per capita,7425904.432,Rials per month
Iran,94,Total,4,Total Expenditure per capita,4578126.274,Rials per month
Iran,94,Total,3,Total Expenditure per capita,3826755.057,Rials per month
Iran,94,Total,10,Total Expenditure per capita,23676468.15,Rials per month
Iran,94,Total,8,Total Expenditure per capita,9040615.312,Rials per month
Iran,94,Urban,5,Total Expenditure per capita,5375176.699,Rials per month
Iran,94,Urban,9,Total Expenditure per capita,11870426.84,Rials per month
Iran,94,Urban,1,Total Expenditure per capita,2067769.242,Rials per month
Iran,94,Urban,2,Total Expenditure per capita,3085377.939,Rials per month
Iran,94,Urban,6,Total Expenditure per capita,6298682.778,Rials per month
Iran,94,Urban,7,Total Expenditure per capita,7427376.674,Rials per month
Iran,94,Urban,4,Total Expenditure per capita,4584825.319,Rials per month
