Year,GEO,Province,UOM,value
90,Iran,Gilan,Food Expenditure (Rials) per month per capita,836567.1041
90,Iran,Mazandaran,Food Expenditure (Rials) per month per capita,804892.8703
90,Iran,East Azarbaijan,Food Expenditure (Rials) per month per capita,704884.4926
90,Iran,West Azarbaijan,Food Expenditure (Rials) per month per capita,726021.333
90,Iran,Kermanshah,Food Expenditure (Rials) per month per capita,773814.4028
90,Iran,Khuzestan,Food Expenditure (Rials) per month per capita,816267.2733
90,Iran,Fars,Food Expenditure (Rials) per month per capita,828227.7972
90,Iran,Kerman,Food Expenditure (Rials) per month per capita,602427.0898
90,Iran,Razavi Khorasan,Food Expenditure (Rials) per month per capita,738141.6993
90,Iran,Esfahan,Food Expenditure (Rials) per month per capita,867334.0149
90,Iran,Sistan and Baluchistan,Food Expenditure (Rials) per month per capita,557798.6274
90,Iran,Kurdistan,Food Expenditure (Rials) per month per capita,772586.0522
90,Iran,Hamadan,Food Expenditure (Rials) per month per capita,620252.6444
90,Iran,Chahar Mahaal and Bakhtiari,Food Expenditure (Rials) per month per capita,935033.7558
90,Iran,Lorestan,Food Expenditure (Rials) per month per capita,775889.8791
90,Iran,Ilam,Food Expenditure (Rials) per month per capita,920650.938
90,Iran,Kohkiluyeh and Buyer Ahmad,Food Expenditure (Rials) per month per capita,690208.7593
90,Iran,Bushehr,Food Expenditure (Rials) per month per capita,635406.2365
90,Iran,Zanjan,Food Expenditure (Rials) per month per capita,860250.7303
90,Iran,Semnan,Food Expenditure (Rials) per month per capita,679295.0848
90,Iran,Yazd,Food Expenditure (Rials) per month per capita,655232.7927
90,Iran,South Khorasan,Food Expenditure (Rials) per month per capita,712827.0017
90,Iran,Hormozgan,Food Expenditure (Rials) per month per capita,828391.1809
90,Iran,Tehran,Food Expenditure (Rials) per month per capita,741981.5114
90,Iran,Ardabil,Food Expenditure (Rials) per month per capita,953646.4177
90,Iran,Qom,Food Expenditure (Rials) per month per capita,562315.973
90,Iran,Qazvin,Food Expenditure (Rials) per month per capita,755464.8232
90,Iran,Golestan,Food Expenditure (Rials) per month per capita,591018.1945
90,Iran,North Khorasan,Food Expenditure (Rials) per month per capita,583516.25
90,Iran,Alborz,Food Expenditure (Rials) per month per capita,683907.6214
89,Iran,Markazi,Food Expenditure (Rials) per month per capita,570553.4141
89,Iran,Gilan,Food Expenditure (Rials) per month per capita,662514.3211
89,Iran,Mazandaran,Food Expenditure (Rials) per month per capita,707554.3945
89,Iran,East Azarbaijan,Food Expenditure (Rials) per month per capita,656988.3624
89,Iran,West Azarbaijan,Food Expenditure (Rials) per month per capita,608072.8411
89,Iran,Kermanshah,Food Expenditure (Rials) per month per capita,612299.6317
89,Iran,Khuzestan,Food Expenditure (Rials) per month per capita,579281.7574
89,Iran,Fars,Food Expenditure (Rials) per month per capita,703792.9053
89,Iran,Kerman,Food Expenditure (Rials) per month per capita,503336.5711
89,Iran,Razavi Khorasan,Food Expenditure (Rials) per month per capita,572358.5028
89,Iran,Esfahan,Food Expenditure (Rials) per month per capita,680239.1981
89,Iran,Sistan and Baluchistan,Food Expenditure (Rials) per month per capita,401595.0091
89,Iran,Kurdistan,Food Expenditure (Rials) per month per capita,621351.9651
89,Iran,Hamadan,Food Expenditure (Rials) per month per capita,585996.8472
89,Iran,Chahar Mahaal and Bakhtiari,Food Expenditure (Rials) per month per capita,639205.479
89,Iran,Lorestan,Food Expenditure (Rials) per month per capita,504011.8996
89,Iran,Ilam,Food Expenditure (Rials) per month per capita,560929.8542
89,Iran,Kohkiluyeh and Buyer Ahmad,Food Expenditure (Rials) per month per capita,527263.4729
89,Iran,Bushehr,Food Expenditure (Rials) per month per capita,543538.6698
89,Iran,Zanjan,Food Expenditure (Rials) per month per capita,637813.0568
89,Iran,Semnan,Food Expenditure (Rials) per month per capita,528364.7998
89,Iran,Yazd,Food Expenditure (Rials) per month per capita,546332.2906
89,Iran,South Khorasan,Food Expenditure (Rials) per month per capita,527750.6793
89,Iran,Hormozgan,Food Expenditure (Rials) per month per capita,517599.7824
89,Iran,Tehran,Food Expenditure (Rials) per month per capita,557870.6956
89,Iran,Alborz,Food Expenditure (Rials) per month per capita,533368.3104
89,Iran,Ardabil,Food Expenditure (Rials) per month per capita,750132.4358
89,Iran,Qom,Food Expenditure (Rials) per month per capita,432265.898
89,Iran,Qazvin,Food Expenditure (Rials) per month per capita,571318.6139
89,Iran,Golestan,Food Expenditure (Rials) per month per capita,448797.8959
89,Iran,North Khorasan,Food Expenditure (Rials) per month per capita,484527.1421
88,Iran,Markazi,Food Expenditure (Rials) per month per capita,462253.0409
88,Iran,Gilan,Food Expenditure (Rials) per month per capita,592877.8245
88,Iran,Mazandaran,Food Expenditure (Rials) per month per capita,519910.4344
88,Iran,East Azarbaijan,Food Expenditure (Rials) per month per capita,530947.2507
88,Iran,West Azarbaijan,Food Expenditure (Rials) per month per capita,491548.9152
88,Iran,Kermanshah,Food Expenditure (Rials) per month per capita,489548.7985
88,Iran,Khuzestan,Food Expenditure (Rials) per month per capita,520346.5384
88,Iran,Fars,Food Expenditure (Rials) per month per capita,524805.8704
88,Iran,Kerman,Food Expenditure (Rials) per month per capita,380854.0854
88,Iran,Razavi Khorasan,Food Expenditure (Rials) per month per capita,478608.8675
88,Iran,Esfahan,Food Expenditure (Rials) per month per capita,578902.6298
88,Iran,Sistan and Baluchistan,Food Expenditure (Rials) per month per capita,286931.7108
88,Iran,Kurdistan,Food Expenditure (Rials) per month per capita,530004.7114
88,Iran,Hamadan,Food Expenditure (Rials) per month per capita,422761.6044
88,Iran,Chahar Mahaal and Bakhtiari,Food Expenditure (Rials) per month per capita,505485.3918
88,Iran,Lorestan,Food Expenditure (Rials) per month per capita,511848.7798
88,Iran,Ilam,Food Expenditure (Rials) per month per capita,537803.7265
88,Iran,Kohkiluyeh and Buyer Ahmad,Food Expenditure (Rials) per month per capita,361939.3721
88,Iran,Bushehr,Food Expenditure (Rials) per month per capita,476848.0804
88,Iran,Zanjan,Food Expenditure (Rials) per month per capita,496975.5745
88,Iran,Semnan,Food Expenditure (Rials) per month per capita,473642.2361
88,Iran,Yazd,Food Expenditure (Rials) per month per capita,402110.2394
88,Iran,South Khorasan,Food Expenditure (Rials) per month per capita,369010.2723
88,Iran,Hormozgan,Food Expenditure (Rials) per month per capita,473039.5423
88,Iran,Tehran,Food Expenditure (Rials) per month per capita,501093.1911
88,Iran,Alborz,Food Expenditure (Rials) per month per capita,490918.2606
88,Iran,Ardabil,Food Expenditure (Rials) per month per capita,619687.3749
88,Iran,Qom,Food Expenditure (Rials) per month per capita,335014.0658
88,Iran,Qazvin,Food Expenditure (Rials) per month per capita,523195.2417
88,Iran,Golestan,Food Expenditure (Rials) per month per capita,351701.7715
88,Iran,North Khorasan,Food Expenditure (Rials) per month per capita,407174.2443
87,Iran,Markazi,Food Expenditure (Rials) per month per capita,396554.9212
87,Iran,Gilan,Food Expenditure (Rials) per month per capita,545998.9531
87,Iran,Mazandaran,Food Expenditure (Rials) per month per capita,516627.6397
87,Iran,East Azarbaijan,Food Expenditure (Rials) per month per capita,422225.0872
87,Iran,West Azarbaijan,Food Expenditure (Rials) per month per capita,464186.1996
87,Iran,Kermanshah,Food Expenditure (Rials) per month per capita,418739.4119
87,Iran,Khuzestan,Food Expenditure (Rials) per month per capita,469632.665
87,Iran,Fars,Food Expenditure (Rials) per month per capita,426783.8146
87,Iran,Kerman,Food Expenditure (Rials) per month per capita,416028.007
87,Iran,Razavi Khorasan,Food Expenditure (Rials) per month per capita,450133.1461
87,Iran,Esfahan,Food Expenditure (Rials) per month per capita,471449.2236
87,Iran,Sistan and Baluchistan,Food Expenditure (Rials) per month per capita,296817.2784
87,Iran,Kurdistan,Food Expenditure (Rials) per month per capita,445741.327
87,Iran,Hamadan,Food Expenditure (Rials) per month per capita,428411.35
87,Iran,Chahar Mahaal and Bakhtiari,Food Expenditure (Rials) per month per capita,442261.4022
87,Iran,Lorestan,Food Expenditure (Rials) per month per capita,474102.5862
87,Iran,Ilam,Food Expenditure (Rials) per month per capita,478774.7693
87,Iran,Kohkiluyeh and Buyer Ahmad,Food Expenditure (Rials) per month per capita,345192.205
87,Iran,Bushehr,Food Expenditure (Rials) per month per capita,488722.4945
87,Iran,Zanjan,Food Expenditure (Rials) per month per capita,500386.3408
87,Iran,Semnan,Food Expenditure (Rials) per month per capita,422384.6886
87,Iran,Yazd,Food Expenditure (Rials) per month per capita,346408.1802
87,Iran,South Khorasan,Food Expenditure (Rials) per month per capita,352519.4194
87,Iran,Hormozgan,Food Expenditure (Rials) per month per capita,367469.4613
87,Iran,Tehran,Food Expenditure (Rials) per month per capita,484836.3211
87,Iran,Alborz,Food Expenditure (Rials) per month per capita,501366.5591
87,Iran,Ardabil,Food Expenditure (Rials) per month per capita,527488.3496
87,Iran,Qom,Food Expenditure (Rials) per month per capita,341950.0828
87,Iran,Qazvin,Food Expenditure (Rials) per month per capita,545497.746
87,Iran,Golestan,Food Expenditure (Rials) per month per capita,341214.2624
87,Iran,North Khorasan,Food Expenditure (Rials) per month per capita,363010.3463
