Year,Decile,value,Variable
95,10,2.612783603,Furniture and household appliances
96,1,2.102751008,Furniture and household appliances
96,2,1.981309694,Furniture and household appliances
96,3,1.890583604,Furniture and household appliances
96,4,2.14566716,Furniture and household appliances
96,5,1.981249849,Furniture and household appliances
96,6,1.903595239,Furniture and household appliances
96,7,2.110057121,Furniture and household appliances
96,8,1.940086333,Furniture and household appliances
96,9,2.067587412,Furniture and household appliances
96,10,2.517868691,Furniture and household appliances
87,1,0.010974217,Healthcare
87,2,0.007072757,Healthcare
87,3,0.010817785,Healthcare
87,4,0.015813557,Healthcare
87,5,0.012667156,Healthcare
87,6,0.043362797,Healthcare
87,7,0.061852171,Healthcare
87,8,0.03929382,Healthcare
87,9,0.034205283,Healthcare
87,10,0.141979814,Healthcare
88,1,0.063722382,Healthcare
88,2,0.016259936,Healthcare
88,3,0.011347207,Healthcare
88,4,0.021130072,Healthcare
88,5,0.020960843,Healthcare
88,6,0.031694129,Healthcare
88,7,0.032471424,Healthcare
88,8,0.075109815,Healthcare
88,9,0.075668539,Healthcare
88,10,0.243382537,Healthcare
89,1,0.030180423,Healthcare
89,2,0.003466179,Healthcare
89,3,0.01231467,Healthcare
89,4,0.032909154,Healthcare
89,5,0.055991584,Healthcare
89,6,0.058089512,Healthcare
89,7,0.093522592,Healthcare
89,8,0.029351349,Healthcare
89,9,0.067225181,Healthcare
89,10,0.144651859,Healthcare
90,1,0.006775032,Healthcare
90,2,0.072444388,Healthcare
90,3,0.042316879,Healthcare
90,4,0.024201524,Healthcare
90,5,0.056661892,Healthcare
90,6,0.032839472,Healthcare
90,7,0.090456965,Healthcare
90,8,0.057239143,Healthcare
90,9,0.115103833,Healthcare
90,10,0.250521704,Healthcare
91,1,0.001438567,Healthcare
91,2,0.005579271,Healthcare
91,3,0.013856093,Healthcare
91,4,0.044381875,Healthcare
91,5,0.020943259,Healthcare
91,6,0.024591732,Healthcare
91,7,0.071033831,Healthcare
91,8,0.036475479,Healthcare
91,9,0.075228033,Healthcare
91,10,0.170680698,Healthcare
92,1,0.086864819,Healthcare
92,2,0.0379963,Healthcare
92,3,0.021245219,Healthcare
92,4,0.094758497,Healthcare
92,5,0.02696707,Healthcare
92,6,0.059626272,Healthcare
92,7,0.093562908,Healthcare
92,8,0.100210441,Healthcare
92,9,0.28850334,Healthcare
92,10,0.333007511,Healthcare
93,1,0.016367966,Healthcare
93,2,0.034120085,Healthcare
93,3,0.041710281,Healthcare
93,4,0.060458815,Healthcare
93,5,0.029924296,Healthcare
93,6,0.094591334,Healthcare
93,7,0.079088652,Healthcare
93,8,0.120261675,Healthcare
93,9,0.128470262,Healthcare
93,10,0.247994354,Healthcare
94,1,0.031265383,Healthcare
94,2,0.024944107,Healthcare
94,3,0.036365961,Healthcare
94,4,0.038638918,Healthcare
94,5,0.020139041,Healthcare
94,6,0.050341208,Healthcare
94,7,0.042049481,Healthcare
94,8,0.071176115,Healthcare
94,9,0.06363128,Healthcare
94,10,0.144202259,Healthcare
95,1,1.965823422,Healthcare
95,2,1.927775473,Healthcare
95,3,1.893449706,Healthcare
95,4,2.100578992,Healthcare
95,5,1.932343935,Healthcare
95,6,1.888592953,Healthcare
95,7,2.151218539,Healthcare
95,8,2.140602401,Healthcare
95,9,1.989466583,Healthcare
95,10,2.514252781,Healthcare
96,1,1.86654653,Healthcare
96,2,2.173998492,Healthcare
96,3,2.014154174,Healthcare
96,4,2.139726967,Healthcare
96,5,2.18201748,Healthcare
96,6,2.209811223,Healthcare
96,7,2.152007328,Healthcare
96,8,2.120525089,Healthcare
96,9,2.663687301,Healthcare
96,10,2.145582082,Healthcare
87,1,0.073162806,Medical and surgical supplies
87,2,0.102780844,Medical and surgical supplies
87,3,0.091644626,Medical and surgical supplies
87,4,0.164292463,Medical and surgical supplies
87,5,0.167478894,Medical and surgical supplies
87,6,0.162493406,Medical and surgical supplies
87,7,0.155000207,Medical and surgical supplies
87,8,0.059190516,Medical and surgical supplies
87,9,0.251403862,Medical and surgical supplies
87,10,0.29330413,Medical and surgical supplies
88,1,0.141777576,Medical and surgical supplies
88,2,0.095306176,Medical and surgical supplies
88,3,0.055215091,Medical and surgical supplies
88,4,0.119832353,Medical and surgical supplies
88,5,0.253693083,Medical and surgical supplies
88,6,0.117259341,Medical and surgical supplies
88,7,0.159086304,Medical and surgical supplies
88,8,0.219978605,Medical and surgical supplies
88,9,0.429156752,Medical and surgical supplies
88,10,0.737517065,Medical and surgical supplies
89,1,0.047548515,Medical and surgical supplies
89,2,0.07872126,Medical and surgical supplies
89,3,0.04795102,Medical and surgical supplies
89,4,0.095717041,Medical and surgical supplies
89,5,0.133761431,Medical and surgical supplies
89,6,0.126979991,Medical and surgical supplies
89,7,0.196163143,Medical and surgical supplies
89,8,0.216842067,Medical and surgical supplies
89,9,0.293467506,Medical and surgical supplies
89,10,0.550395195,Medical and surgical supplies
90,1,0.028514654,Medical and surgical supplies
90,2,0.023070724,Medical and surgical supplies
90,3,0.075906233,Medical and surgical supplies
90,4,0.083448894,Medical and surgical supplies
90,5,0.070289296,Medical and surgical supplies
90,6,0.194791631,Medical and surgical supplies
90,7,0.14652903,Medical and surgical supplies
90,8,0.209513714,Medical and surgical supplies
90,9,0.28849315,Medical and surgical supplies
90,10,0.646043046,Medical and surgical supplies
91,1,0.05013792,Medical and surgical supplies
91,2,0.090225016,Medical and surgical supplies
91,3,0.042547959,Medical and surgical supplies
91,4,0.122562171,Medical and surgical supplies
91,5,0.076463642,Medical and surgical supplies
91,6,0.138044618,Medical and surgical supplies
91,7,0.16496851,Medical and surgical supplies
91,8,0.194170318,Medical and surgical supplies
91,9,0.258348251,Medical and surgical supplies
91,10,0.523378656,Medical and surgical supplies
92,1,0.051875601,Medical and surgical supplies
92,2,0.05620389,Medical and surgical supplies
92,3,0.056091276,Medical and surgical supplies
92,4,0.051754768,Medical and surgical supplies
92,5,0.07420654,Medical and surgical supplies
92,6,0.076729675,Medical and surgical supplies
92,7,0.105935764,Medical and surgical supplies
92,8,0.175282098,Medical and surgical supplies
92,9,0.259702356,Medical and surgical supplies
92,10,0.440149087,Medical and surgical supplies
93,1,0.050734184,Medical and surgical supplies
93,2,0.160742668,Medical and surgical supplies
93,3,0.038374156,Medical and surgical supplies
93,4,0.090077171,Medical and surgical supplies
93,5,0.093650008,Medical and surgical supplies
93,6,0.142197722,Medical and surgical supplies
93,7,0.088033875,Medical and surgical supplies
93,8,0.134365681,Medical and surgical supplies
93,9,0.112410199,Medical and surgical supplies
93,10,0.446915801,Medical and surgical supplies
94,1,0.113195193,Medical and surgical supplies
94,2,0.066958578,Medical and surgical supplies
94,3,0.055737194,Medical and surgical supplies
94,4,0.087687367,Medical and surgical supplies
94,5,0.179679052,Medical and surgical supplies
94,6,0.079399538,Medical and surgical supplies
94,7,0.153455239,Medical and surgical supplies
94,8,0.194672063,Medical and surgical supplies
94,9,0.185155685,Medical and surgical supplies
94,10,0.553224992,Medical and surgical supplies
95,1,0.047915335,Medical and surgical supplies
95,2,0.148957381,Medical and surgical supplies
95,3,0.03231214,Medical and surgical supplies
95,4,0.115200753,Medical and surgical supplies
95,5,0.090255849,Medical and surgical supplies
95,6,0.086316191,Medical and surgical supplies
95,7,0.15816496,Medical and surgical supplies
95,8,0.176088517,Medical and surgical supplies
95,9,0.213402195,Medical and surgical supplies
