year,GEO,UOM,variable,decile,value
92,Iran,Price of food items 1000Rials per kg ,Milk,2,19.51127742
92,Iran,Price of food items 1000Rials per kg ,Meat,8,256.3942766
92,Iran,Price of food items 1000Rials per kg ,Chicken,8,60.90344564
92,Iran,Price of food items 1000Rials per kg ,Bread,8,12.44867651
92,Iran,Price of food items 1000Rials per kg ,Milk,8,19.49204375
92,Iran,Price of food items 1000Rials per kg ,Rice,4,47.97277561
92,Iran,Price of food items 1000Rials per kg ,Meat,10,252.8799938
92,Iran,Price of food items 1000Rials per kg ,Rice,10,53.40799054
92,Iran,Price of food items 1000Rials per kg ,Sugar,10,69.03220051
92,Iran,Price of food items 1000Rials per kg ,Yogurt,10,25.33033015
92,Iran,Price of food items 1000Rials per kg ,Fruit,10,29.00878869
92,Iran,Price of food items 1000Rials per kg ,Chicken,10,62.76260083
92,Iran,Price of food items 1000Rials per kg ,Bread,10,12.45429674
92,Iran,Price of food items 1000Rials per kg ,Milk,10,19.6945289
92,Iran,Price of food items 1000Rials per kg ,Meat,7,255.2190532
92,Iran,Price of food items 1000Rials per kg ,Sugar,7,52.55092608
92,Iran,Price of food items 1000Rials per kg ,Yogurt,7,24.61538125
92,Iran,Price of food items 1000Rials per kg ,Fruit,7,25.27861802
92,Iran,Price of food items 1000Rials per kg ,Bread,7,12.0535395
92,Iran,Price of food items 1000Rials per kg ,Rice,7,48.91583418
92,Iran,Price of food items 1000Rials per kg ,Milk,7,20.04689138
92,Iran,Price of food items 1000Rials per kg ,Meat,5,257.4583405
92,Iran,Price of food items 1000Rials per kg ,Rice,5,47.98173755
92,Iran,Price of food items 1000Rials per kg ,Fish,5,138.7715201
92,Iran,Price of food items 1000Rials per kg ,Fruit,5,24.54248439
92,Iran,Price of food items 1000Rials per kg ,Chicken,5,59.83720208
92,Iran,Price of food items 1000Rials per kg ,Bread,5,12.23938382
92,Iran,Price of food items 1000Rials per kg ,Milk,5,18.36018034
92,Iran,Price of food items 1000Rials per kg ,Fish,7,143.6551878
92,Iran,Price of food items 1000Rials per kg ,Fish,4,133.78286
92,Iran,Price of food items 1000Rials per kg ,Fish,10,157.4256257
92,Iran,Price of food items 1000Rials per kg ,Sugar,5,49.62738318
92,Iran,Price of food items 1000Rials per kg ,Yogurt,5,24.74784073
92,Iran,Price of food items 1000Rials per kg ,Meat,9,253.1794467
