"","ProvinceName","Total_Exp_per","Total_Exp_per_Real","Net_Inc_per_Real","Cum_Total_Exp_per_Real","Cum_Net_Inc_per_Real","Year"
"465","North Khorasan",1838137.64880968,23399796.9069579,18707287.6834145,5101242633436.56,4078258194549.58,"1388"
"466","Markazi",1820089.60998723,24719899.13345,18129297.8279948,9001874868941.47,6601874450553.44,"1387"
"467","Gilan",2376432.46323417,33189262.4708892,21167105.8624091,22210951420031,14165471752347.3,"1387"
"468","Mazandaran",2506512.49192092,35487622.800788,32384630.1611761,27792806061270.3,25362638418698.2,"1387"
"469","East Azarbaijan",2337928.09402972,31817688.0618409,18649695.3363755,28993581887160,16994367028014.2,"1387"
"470","West Azarbaijan",2277997.60638545,31363741.6704524,18486495.412955,20551405366980.6,12113460984292.9,"1387"
"471","Kermanshah",2041680.18774716,27724792.0432372,17224889.0666411,12314936753725.3,7651037350065.96,"1387"
"472","Khuzestan",2235264.33591697,30193338.3316918,21882859.7952421,26041482571039.2,18873769627658.1,"1387"
"473","Fars",2328002.88627569,31954631.3764996,22363771.2951477,32424044911420.3,22692295095473.5,"1387"
"474","Kerman",1992034.9661008,27230246.3942231,18924095.1166807,16692032118673.2,11600394610144.8,"1387"
"475","Razavi Khorasan",2091681.73236266,28166635.4925704,22337636.1821869,40170889373242.6,31857646333764.6,"1387"
"476","Esfahan",2737626.74119856,36263389.386665,20373825.1717861,44374929378231.8,24931123881512,"1387"
"477","Sistan and Baluchistan",1023025.70354124,14314879.7682001,13154834.6610435,6699721603511.87,6156791492234.87,"1387"
"478","Kurdistan",1819389.34706105,25136226.2513478,20219399.1675423,8475407631203.19,6817556791912.75,"1387"
"479","Hamadan",1703901.6651421,23560317.0107983,19162580.7856785,10076158577593.2,8195356737515.07,"1387"
"480","Chahar Mahaal and Bakhtiari",1863039.5025351,26224861.2214654,16580829.785854,5092107528233.15,3219516300349.05,"1387"
"481","Lorestan",2148646.95913094,29193913.7022571,17751700.8210163,11175576134792.5,6795439832789.16,"1387"
"482","Ilam",2101671.82418403,29022898.4751772,19982076.9258887,3207465624984.21,2208319231464.59,"1387"
"483","Kohkiluyeh and Buyer Ahmad",1434366.4363481,20060461.3731674,14855752.8624341,2523184771055.62,1868541739284.09,"1387"
"484","Bushehr",2250796.06757515,30968115.6925785,16760772.8686621,5845603454362.5,3163797008234.4,"1387"
"485","Zanjan",2319565.06167244,31829004.2004465,18501897.7649138,7504356149343.47,4362210937931.5,"1387"
"486","Semnan",2074801.43696161,27886880.0687944,20100217.9047626,4456072453072.73,3211833919219.92,"1387"
"487","Yazd",1895352.15033758,25354780.6822761,20484210.9915713,6131952288885.74,4954024491467.56,"1387"
"488","South Khorasan",1416322.74965001,19750337.2093155,13835714.8249728,3478034382560.45,2436469380677.7,"1387"
"489","Hormozgan",1802705.16073733,25207478.0243396,17855591.9173747,7646007856776.75,5416011707153.86,"1387"
"490","Tehran",4013118.32347211,51878042.2398286,28611741.3040019,164286087214033,90606947067980.6,"1387"
"491","Alborz",3469810.93178667,45154609.2927005,23182305.0767325,25387501755681.5,13033903294816.7,"1387"
"492","Ardabil",2336633.34976672,32549108.4061067,20295079.7822209,9160393226055.83,5711705188349.77,"1387"
"493","Qom",1848992.33808606,23970672.5774416,17253142.6130317,6287819035806.45,4525723598252.2,"1387"
"494","Qazvin",2891792.59183847,39336046.298668,23240749.5822029,11576795105929.5,6839868805790.23,"1387"
"495","Golestan",1629497.68269357,22626875.8586492,19927254.4773716,8583595864482.02,7559483695008.84,"1387"
"496","North Khorasan",1620201.94449631,22663450.3364868,17707294.1626439,4501550486535.03,3517129010349.32,"1387"
"497","Markazi",1856249.23026612,31688266.4308834,22566543.8622962,10107447902126.7,7197937663037.3,"1386"
"498","Gilan",2162471.57440552,37945253.2084414,25005060.3489123,22581523746369.1,14880711454120.5,"1386"
"499","Mazandaran",2435922.90724139,43775234.7718857,36482794.6433713,29387409483236.2,24491812113961.2,"1386"
"500","East Azarbaijan",1762641.34961207,30173932.8984362,22191661.5542103,24164824335645.6,17772214347350.9,"1386"
"501","West Azarbaijan",1987971.37684164,34723824.0659958,23137003.1664839,19195816077219.4,12790459268476.7,"1386"
"502","Kermanshah",1744838.36474777,29898144.1224724,20744943.6152639,11821756084169.7,8202571450418.96,"1386"
"503","Khuzestan",1495994.2313917,25451335.2501709,22577169.6093293,18883287321506,16750837488437,"1386"
"504","Fars",1903672.36457514,33256153.1192093,26237642.5266005,28998035273825.7,22878174777494.5,"1386"
"505","Kerman",1489100.84712038,26154162.3467051,23776057.5296936,13061467138431.5,11873834458501.6,"1386"
"506","Razavi Khorasan",1949244.57551953,33090717.9741563,20473577.824174,41343675399782.8,25579770027834.3,"1386"
"507","Esfahan",2471158.08122134,41540688.6190643,24565110.5675115,44250263115620,26167419034498.5,"1386"
"508","Sistan and Baluchistan",921287.824755105,16496407.0989726,14544834.7587281,6532560714786.03,5759740019621.55,"1386"
"509","Kurdistan",1455877.28733217,25534570.6807857,22931370.069466,7450451498668.97,6690892227498.72,"1386"
"510","Hamadan",1601941.59642278,27773121.3333461,25110039.5502097,10677404269726.2,9653579815117.66,"1386"
"511","Chahar Mahaal and Bakhtiari",1443851.18891533,25833970.9697643,21171151.6376402,4406810435964.34,3611417388651.94,"1386"
"512","Lorestan",1508193.2065214,26141548.2018856,18283121.8583795,8686679618197.38,6075371694808.35,"1386"
"513","Ilam",1806674.34335407,31359051.9448609,22954286.2691118,2909555557548.08,2129744588620.73,"1386"
"514","Kohkiluyeh and Buyer Ahmad",1515638.53538857,27008029.0441004,19815485.8344601,2955029481802.16,2168071751605.79,"1386"
"515","Bushehr",1919095.99810436,33468937.8666271,23598842.5031993,5165729746086.69,3642339747313.8,"1386"
"516","Zanjan",1672347.60757573,29039408.2353171,24168801.3353612,6011418859384.76,5003159395631.79,"1386"
"517","Semnan",1625284.61715803,27642778.0965497,21504284.0294035,3715686946182.01,2890562850664.36,"1386"
"518","Yazd",1859506.23517693,31216145.2030463,24549753.8818851,6346131577765.94,4990877871781.87,"1386"
"519","South Khorasan",1270221.76251258,22661269.5149692,16570385.2224704,3075282649831.3,2248709770740.02,"1386"
"520","Hormozgan",1878410.98670106,33469348.7664517,23249723.8462804,8577491232517.48,5958415977600.89,"1386"
"521","Tehran",3522842.72910569,57341429.0489452,32134620.5944127,153214802674833,85862868000743.2,"1386"
"522","Alborz",2473962.20284735,40659071.562615,28016731.0747823,18276296777363,12593551012736.3,"1386"
"523","Ardabil",1933188.14552688,34361021.5323643,24171739.8310291,8573384121518.68,6031066633500.25,"1386"
"524","Qom",1484010.44854865,24211431.8814368,18207414.8414596,5437839177706.94,4089348958562.15,"1386"
"525","Qazvin",2265455.35957017,39582860.1386682,25696164.5954569,9888273456960.99,6419210269920.28,"1386"
"526","Golestan",1326634.42748913,23726308.4644449,21693910.5135787,7605705441362.46,6954199954232.79,"1386"
"527","North Khorasan",1230145.45613739,21955072.6507659,16916336.8375669,3815462300613.36,2939805597316.57,"1386"
"528","Markazi",1423984.66998534,28725053.0576648,22232273.8647321,9162286548538.07,7091317233264.26,"1385"
"529","Gilan",1710333.62535608,35648474.8843227,23464930.4744655,21214692591459.5,13964167844798.2,"1385"
"530","Mazandaran",2039609.88915411,42928672.4261896,33781558.2477251,28819091016511.8,22678404590654.1,"1385"
